,iter,train_loss,val_loss
0,0,0.6924221813678741,0.6770911514759064
1,1,0.6619911960193089,0.7082535028457642
2,2,0.6434372663497925,0.7201202511787415
3,3,0.6243458092212677,0.7395574748516083
4,4,0.605153541479792,0.7446849346160889
5,5,0.5814959577151707,0.6985085308551788
6,6,0.5518113332135337,0.6853374540805817
7,7,0.5221609579665321,0.6617702841758728
8,8,0.4814331701823643,0.5718064308166504
9,9,0.43849884825093405,0.535888671875
10,10,0.3913347465651376,0.487643301486969
11,11,0.34288870649678366,0.4091385304927826
12,12,0.30823405193431036,0.3749474734067917
13,13,0.24404259771108627,0.33209262788295746
14,14,0.2015331866485732,0.23812149465084076
15,15,0.16482761608702795,0.15341155230998993
16,16,0.13362032813685282,0.13176485523581505
17,17,0.11245682622705187,0.13299532234668732
18,18,0.09083387096013341,0.08527876995503902
19,19,0.0814196031008448,0.08822078257799149
20,20,0.06713980489543506,0.08981481567025185
21,21,0.05716762345816408,0.06578617170453072
22,22,0.052313653486115594,0.057442192919552326
23,23,0.04703354037233761,0.0502836499363184
24,24,0.04129652492702007,0.048174040392041206
25,25,0.03561696184000799,0.0417274059727788
26,26,0.034186415640371184,0.03628398571163416
27,27,0.03192308744681733,0.03586337808519602
28,28,0.031172115488776138,0.032847486436367035
29,29,0.0270353550357478,0.03691180236637592
30,30,0.024602809122630527,0.028706896118819714
31,31,0.02261897056762661,0.025679144077003002
32,32,0.020894699729979038,0.025143484584987164
33,33,0.019549621069537743,0.027946580201387405
34,34,0.01929625017302377,0.02098357304930687
35,35,0.019975051816020693,0.02005571499466896
36,36,0.01755433835621391,0.01908259466290474
37,37,0.0160548127522426,0.02346260892227292
38,38,0.015144576850746359,0.015438010916113853
39,39,0.014767832654927458,0.020764227025210857
40,40,0.014128899002181632,0.01627176534384489
41,41,0.01344617728942207,0.014307974372059107
42,42,0.012549001390912704,0.014013082720339298
43,43,0.011832422709890775,0.013236072147265077
44,44,0.012115222734532185,0.012747490778565407
45,45,0.01258399706733014,0.012477610725909472
46,46,0.010814651381224394,0.017895265948027372
47,47,0.011420720057295901,0.013154617743566632
48,48,0.010173262363033635,0.009711266029626131
49,49,0.009780825015955738,0.012309024576097727
50,50,0.009971055035878505,0.012635308085009456
51,51,0.009664356143080763,0.012673937249928713
52,52,0.00891265259789569,0.011716200038790703
53,53,0.00872064262096371,0.008945307694375515
54,54,0.00820560151311968,0.008940780302509665
55,55,0.00937602439496134,0.007927087368443608
56,56,0.007801621254267437,0.008737978059798479
57,57,0.007087189571133682,0.008064561989158392
58,58,0.007443916451718126,0.007802281063050032
59,59,0.0071810016275516576,0.00898627657443285
60,60,0.007560617124129619,0.008023571688681841
61,61,0.007260235558663096,0.00860276841558516
62,62,0.006497219470994813,0.007759764790534973
63,63,0.006836301680388195,0.007141155190765858
64,64,0.006446465916399445,0.00803457060828805
65,65,0.006503321529765215,0.009212065022438765
66,66,0.006111549429728517,0.006490685045719147
67,67,0.006010873758766268,0.006074866279959679
68,68,0.005784204179820206,0.006425633328035474
69,69,0.005728840728157333,0.005460758460685611
70,70,0.005743838597222098,0.0059469775296747684
71,71,0.005234638827719859,0.00576381606515497
72,72,0.005232338494222079,0.0053281341679394245
